Region,Primary_reference_of_dataset,Reference_where_data_were_collated,Website_of_source_of_collated_data,Material,Default_N_content_g_N_kg_fresh_weight,Default_P_content_g_P_kg_fresh_weight
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Wheat,20.8,4
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Barley,17,3.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Maize,15.3,3.1
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Rye,17.5,3.1
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Oats,18.1,3.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Millet,17.9,3.8
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sorghum,16.1,3.8
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Cereals, Other",16.1,3.1
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Potatoes,2.9,0.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Cassava,4.3,0.8
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sweet Potatoes,3.7,0.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Roots, Other",3,0.4
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Yams,3,0.4
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sugar Cane,1.3,0.4
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sugar Beet,2.3,0.4
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Sugar, Non-Centrifugal",8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sugar (Raw Equivalent),8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Sweeteners, Other",8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Molasses,8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Beans,42,4.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Peas,50.7,5
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Pulses, Other",50.7,5
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Nuts,17.9,3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Soyabeans,58.6,7.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Groundnuts (Shelled Eq),41.9,3.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sunflowerseed,28.8,5.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Rape and Mustardseed,35.2,6.1
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Cottonseed,26.8,5.8
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Coconuts - Incl Copra,5.7,1.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sesameseed,23.7,5.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Palmkernels,4.9,0.7
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Olives,1.6,0.1
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Oilcrops, Other",23.7,5.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Soyabean Cake,58.6,7.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Groundnut Cake,41.9,3.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sunflowerseed Cake,28.8,5.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Rape and Mustard Cake,35.2,6.1
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Cottonseed Cake,26.8,5.8
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Palmkernel Cake,4.9,0.7
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Copra Cake,5.7,1.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sesameseed Cake,23.7,5.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Oilseed Cakes, Other",23.7,5.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Brans,8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Tomatoes,2.9,0.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Onions,2.9,0.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Vegetables, Other",2.9,0.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Oranges, Mandarines",1.8,0.2
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Lemons, Limes",1.8,0.2
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Grapefruit,1.3,0.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Citrus, Other",1.8,0.2
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Bananas,1.7,0.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Plantains,1.7,0.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Apples,1.8,0.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Pineapples,1.8,0.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Dates,17.9,3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Grapes,1.3,0.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Fruits, Other",1.3,0.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Coffee,35,2.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Cocoa Beans,21.2,5.7
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Tea,8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Pepper,2.9,0.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Pimento,2.9,0.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Cloves,8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Spices, Other",8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Wine,0,0.2
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Beer,0,0.2
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Beverages, Fermented",0,0.2
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Beverages, Alcoholic",0,0.2
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Alcohol, Non-Food",0,0.2
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Cotton Lint,26.8,5.8
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Jute,4.5,0.5
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Jute-Like Fibres,4.5,0.5
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Soft-Fibres, Other",4.5,0.5
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Sisal,4.5,0.5
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Abaca,1.8,0.3
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Hard Fibres, Other",4.5,0.5
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Tobacco,8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Rubber,6.6,1.1
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Rice (Paddy Equivalent),15,2.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Rice (Milled Equivalent),15,2.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Roots & Tuber Dry Equiv,3,0.4
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Sugar, Refined Equiv",8.3,0.9
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,Groundnuts (in Shell Eq),41.9,3.6
Europe,FAO (2004),"EU Nitrogen Expert Panel (2016) Nitrogen Use Efficiency (NUE) – Guidance document
for assessing NUE at farm level. Wageningen University, Alterra, PO Box 47, NL-6700 Wageningen, Netherlands.",http://www.eunep.com/wp-content/uploads/2019/09/NUE-Guidance-Document.pdf,"Sugar, Raw Equivalent",8.3,0.9
